"","MSE1","MSE2","MSE3","MSEt4","MSE5","MSE6","X","Y"
"45",10.9917779368266,10.9960383126944,11.0009884098059,11.0065945831065,11.0127947837885,11.0195031089312,461623.375962251,-579004.508299629
"46",10.9697609795261,10.9744679555351,10.9799641385391,10.9862127273462,10.9931442287185,11.0006616444481,145637.742797406,-569976.347352062
"47",10.9676649175293,10.9725481691833,10.9782152873501,10.9846269595525,10.9917117517162,10.9993713253853,263003.835115777,-569976.347352062
"48",10.9677705595597,10.9726658001395,10.9783427800391,10.9847619924057,10.991851932554,10.9995143067888,272031.996063344,-569976.347352062
"49",10.9678558238987,10.9727652548351,10.9784541721911,10.9848828478741,10.9919796887825,10.9996464369285,281060.157010911,-569976.347352062
"50",10.9678837712712,10.9728112586397,10.9785159137764,10.9849577416484,10.9920650235841,10.9997395091085,290088.317958478,-569976.347352062
"51",10.96779976098,10.9727516962993,10.9784784959565,10.9849398235801,10.9920637687757,10.9997520321241,299116.478906045,-569976.347352062
"52",10.9675205644485,10.9725072671393,10.9782666592645,10.984757943957,10.9919089083217,10.9996211045809,308144.639853612,-569976.347352062
"53",10.9669149497365,10.9719530382405,10.9777619352782,10.984300192429,10.9914951126006,10.9992479326592,317172.800801179,-569976.347352062
"54",10.9657953044603,10.9709105366673,10.9767952100985,10.9834069293152,10.9906722293007,10.9984917682023,326200.961748746,-569976.347352062
"55",10.964240936525,10.9694554558375,10.9754384369963,10.9821462835992,10.9895045212972,10.9974130076966,335229.122696313,-569976.347352062
"56",10.9645181388268,10.9697440755438,10.9757351724807,10.9824476372956,10.9898069779284,10.9977131965724,344257.28364388,-569976.347352062
"57",10.9676627658089,10.9727616828914,10.9786189332347,10.9851921125021,10.9924082675448,11.0001690231755,353285.444591447,-569976.347352062
"58",10.9707962051818,10.9757694116395,10.9814940390312,10.9879290561202,10.9950030394469,11.0026192325855,362313.605539014,-569976.347352062
"59",10.9734010434264,10.9782745701917,10.9838931897061,10.9902169460279,10.9971756563203,11.0046739116978,371341.766486581,-569976.347352062
"60",10.9756462189556,10.9804376501546,10.9859682597723,10.9921989659915,10.9990606304468,11.0064590069442,380369.927434148,-569976.347352062
"61",10.9776695229145,10.9823896227479,10.9878432526632,10.9939920818267,11.0007678956942,11.0080774965349,389398.088381715,-569976.347352062
"62",10.979551012888,10.9842065719531,10.98959019429,10.9956642223705,11.0023612887333,11.0095891708861,398426.249329282,-569976.347352062
"63",10.9813354486791,10.9859310163437,10.9912493172974,10.9972533152799,11.0038764378073,11.0110273872777,407454.410276849,-569976.347352062
"64",10.9830475732728,10.9875864407715,10.9928428261558,10.998780276792,11.0053329767663,11.0124105156211,416482.571224416,-569976.347352062
"65",10.9847008595791,10.9891856164453,10.9943827803768,11.0002564527599,11.0067415433782,11.0137484979988,425510.732171983,-569976.347352062
"66",10.9863025149576,10.9907353618861,10.9958756059924,11.0016878775374,11.0081077852262,11.0150466037601,434538.89311955,-569976.347352062
"67",10.9878563762545,10.9922392969422,10.9973247051485,11.0030777373675,11.009434676685,11.0163076013653,443567.054067117,-569976.347352062
"68",10.9893645788868,10.9936994301753,10.9987319598893,11.0044277895916,11.0107238534932,11.0175330091169,452595.215014684,-569976.347352062
"69",10.9908284969148,10.9951170524335,11.0000985782222,11.0057391607311,11.0119763628878,11.0187237978647,461623.375962251,-569976.347352062
"70",10.992249247438,10.9964932157967,11.0014255471403,11.0070127734029,11.0131930645062,11.0198807662428,470651.536909818,-569976.347352062
"71",10.993627938331,10.997828968316,11.0027138541993,11.0082495547148,11.0143748257191,11.0210047231833,479679.697857385,-569976.347352062
